id,lambda,branch,alpha0,beta_plus0,beta_minus0,p_plus0,p_minus0,p_alpha0,momentum_rescale,tau_end,t_end,alpha_min,alpha_max,shear_max,shear_end,beta_max,wall_bounces,lyapunov_tau_bounded_only,recurrence,peaks_beta_plus,constraint_residual,steps,stop_reason,class
1,0,expanding,0.829389900,0.076824320,-0.076824320,91.397482,25.044276,-20.679776,3.984373,0.903183570,5.008706234e+0,-8.175538095,0.841944239,4.213639e+7,9.999372e-1,4.927615802,2,,0.955493625,1,5.348248e-10,2454,collapse,singular
2,0,expanding,0.608779799,-0.396351360,0.396351360,0.877980,-32.428748,-109.327967,1.000000,0.491837638,1.080873481e+1,-8.391996788,1.230699116,3.515109e+5,9.927293e-1,4.352315339,5,,0.111497429,0,3.272833e-10,2645,collapse,singular
3,0,expanding,0.388169699,0.230472960,-0.230472960,-21.183030,18.856879,-58.508541,1.000000,1.347387629,6.690460517e+0,-8.614418624,0.767739964,1.348341e+6,4.103047e-1,4.615329183,3,,0.346333285,0,1.008096e-9,4932,collapse,singular
4,0,expanding,0.167559598,-0.242702720,0.242702720,-43.244040,-19.857495,-46.061177,1.000000,0.535557916,7.881187326e+0,-8.837199806,0.808860544,1.371657e+6,8.383067e-1,7.174189692,6,,0.693248397,0,3.294238e-11,2315,collapse,singular
5,0,expanding,0.846949498,0.384121600,-0.384121600,24.694950,31.428131,-436.355910,1.000000,0.059871358,2.818128760e+1,-8.170196544,2.082738493,4.385996e+6,9.973114e-1,6.685133883,7,,1.000000000,0,2.566847e-11,2336,collapse,singular
6,0,expanding,0.626339398,-0.089054079,0.089054079,21.780911,-60.252331,-13.980857,8.269328,1.143800217,3.568143714e+0,-8.447070383,0.638127631,2.389539e+6,9.999550e-1,4.123786462,5,,0.921299483,1,2.866005e-11,1529,collapse,singular
7,0,expanding,0.405729297,0.537770241,-0.537770241,-19.427070,43.999383,-451.127873,1.000000,0.019840457,3.570068455e+1,-8.595176081,2.300634480,1.176192e+7,9.672817e-1,9.463020058,7,,1.000000000,0,4.902463e-12,2352,collapse,singular
8,0,expanding,0.185119197,0.064594561,-0.064594561,-41.488080,5.285010,-32.677963,1.000000,1.974681894,4.544557416e+0,-8.836528579,0.530026311,5.757280e+5,9.997973e-1,5.215606496,4,,0.771516510,0,9.189799e-10,5059,collapse,singular
9,0,expanding,0.864509097,-0.408581119,0.408581119,26.450910,-33.429364,-193.367349,1.000000,0.117085674,1.478688360e+1,-8.136832469,1.525115378,5.457614e+6,6.669717e-1,7.605348050,5,,1.000000000,0,2.237297e-10,3103,collapse,singular
10,0,expanding,0.643898996,0.218243201,-0.218243201,4.389900,17.856262,-75.166223,1.000000,0.759149752,8.239807806e+0,-8.422323682,0.978441126,2.820154e+6,9.999898e-1,3.074736107,7,,0.146478320,0,1.967913e-10,2455,collapse,singular
11,0,expanding,0.423288896,-0.254932479,0.254932479,-17.671110,-20.858112,-23.618529,1.000000,0.524346214,4.573696886e+0,-8.581756300,0.574665348,6.809336e+6,8.725675e-1,7.666105117,5,,0.134292805,0,1.243707e-11,1815,collapse,singular
12,0,expanding,0.202678795,0.371891841,-0.371891841,-39.732120,30.427514,-121.532426,1.000000,0.425872518,1.806512074e+1,-8.802769298,1.232618367,4.692152e+7,7.004190e-1,4.912102915,5,,0.275412946,0,3.623072e-10,4349,collapse,singular
13,0,expanding,0.882068695,-0.101283839,0.101283839,100.928491,-29.651650,-22.955216,3.578153,0.709831896,4.172442065e+0,-8.121828333,0.893633905,6.947092e+5,5.026101e-1,4.566414203,3,,1.046452727,0,1.695427e-10,2208,collapse,singular
14,0,expanding,0.661458595,0.525540481,-0.525540481,6.145859,42.998767,-698.929677,1.000000,0.019894633,4.306078707e+1,-8.344157466,2.517049866,1.398262e+6,9.990477e-1,8.663985355,7,,1.000000000,0,2.469999e-11,2698,collapse,singular
15,0,contracting,0.829389900,0.076824320,-0.076824320,91.397482,25.044276,20.679776,3.984373,0.712594574,2.875975427e+0,-8.238638589,0.829389900,2.100000e+1,9.999995e-1,4.988718508,2,,1.087727938,0,6.968235e-11,1946,collapse,singular
16,0,contracting,0.608779799,-0.396351360,0.396351360,0.877980,-32.428748,109.327967,1.000000,0.369556119,8.278410183e-1,-8.433449095,0.608779799,1.098901e+0,9.998484e-1,5.145558400,3,,0.213095564,0,6.911408e-12,1372,collapse,singular
17,0,contracting,0.388169699,0.230472960,-0.230472960,-21.183030,18.856879,58.508541,1.000000,0.158050405,7.040757777e-1,-8.613198975,0.388169699,1.189685e+0,9.979377e-1,8.616241125,1,,1.000000000,0,5.714555e-13,721,collapse,singular
18,0,contracting,0.167559598,-0.242702720,0.242702720,-43.244040,-19.857495,46.061177,1.000000,1.165571062,5.787321482e-1,-8.850194640,0.167559598,1.067276e+0,9.999972e-1,4.813849029,3,,1.019545277,0,2.916387e-11,1307,collapse,singular
19,0,contracting,0.846949498,0.384121600,-0.384121600,24.694950,31.428131,436.355910,1.000000,0.032808940,4.661421077e-1,-8.155256029,0.846949498,1.010596e+0,9.745759e-1,8.186343840,1,,1.000000000,0,1.651589e-12,543,collapse,singular
20,0,contracting,0.626339398,-0.089054079,0.089054079,21.780911,-60.252331,13.980857,8.269328,1.258732414,2.375895866e+0,-8.378637672,0.626339398,2.100000e+1,9.998457e-1,3.236891556,5,,0.958290040,0,3.004965e-11,1578,collapse,singular
