omega,gap,hyperbola_prediction
5.500000,5.038010801e-1,5.047842766e-1
5.525000,4.790508110e-1,4.800335050e-1
5.550000,4.543279409e-1,4.553099669e-1
5.575000,4.296371992e-1,4.306183530e-1
5.600000,4.049844622e-1,4.059644885e-1
5.625000,3.803771187e-1,3.813556948e-1
5.650000,3.558245861e-1,3.568012976e-1
5.675000,3.313390490e-1,3.323133550e-1
5.700000,3.069365406e-1,3.079077231e-1
5.725000,2.826385671e-1,2.836056522e-1
5.750000,2.584746099e-1,2.594362464e-1
5.775000,2.344861035e-1,2.354403660e-1
5.800000,2.107329725e-1,2.116770322e-1
5.825000,1.873047851e-1,1.882343378e-1
5.850000,1.643405700e-1,1.652488001e-1
5.875000,1.420655014e-1,1.429411275e-1
5.900000,1.208612159e-1,1.216846989e-1
5.925000,1.014016919e-1,1.021379750e-1
5.950000,8.489531925e-2,8.548196268e-2
5.975000,7.336327143e-2,7.370322885e-2
6.000000,6.933372875e-2,6.933372875e-2
6.025000,7.404190715e-2,7.370322885e-2
6.050000,8.606557703e-2,8.548196268e-2
6.075000,1.028708136e-1,1.021379750e-1
6.100000,1.225053712e-1,1.216846989e-1
6.125000,1.438150492e-1,1.429411275e-1
6.150000,1.661565864e-1,1.652488001e-1
6.175000,1.891647278e-1,1.882343378e-1
6.200000,2.126231813e-1,2.116770322e-1
6.225000,2.363979270e-1,2.354403660e-1
6.250000,2.604023465e-1,2.594362464e-1
6.275000,2.845783256e-1,2.836056522e-1
6.300000,3.088855836e-1,3.079077231e-1
6.325000,3.332953988e-1,3.323133550e-1
6.350000,3.577867807e-1,3.568012976e-1
6.375000,3.823440549e-1,3.813556948e-1
6.400000,4.069552927e-1,4.059644885e-1
6.425000,4.316112626e-1,4.306183530e-1
6.450000,4.563047132e-1,4.553099669e-1
6.475000,4.810298722e-1,4.800335050e-1
6.500000,5.057820892e-1,5.047842766e-1
