N,R_m,R_over_lP,R_over_c_s,t_coh_s,beta,degeneracy,omega_rad_s,nu_Hz,epsilon0_J,shell_zero_point_J,bare_cutoff_M,bare_cutoff_energy_J,scalar_Casimir_energy_J,scalar_Casimir_density_J_m3,scalar_Casimir_pressure_Pa,mode_temperature_K,equal_thermal_zero_temperature_K,mean_Planck_energy_at_theta_J,theta,single_mode_compactness,scalar_Casimir_compactness,epsilon0_R_over_c_Js,scalar_Casimir_R_over_c_Js,rho_R4_Jm
0,1.616255e-35,1.0,5.391246366844893e-44,1.6937099979772578e-43,1,1,1.8548586578231776e+43,2.952099241293572e+42,978040832.5293849,978040832.5293847,24,88023674927644.62,8150340.271078206,9.779493341412359e+109,3.2598311138041197e+109,1.4167841826986943e+32,1.2896125387567953e+32,1956081665.0587697,0.9102392266268373,1.0,0.008333333333333333,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
1,2.615155524486962e-35,1.6180339887498951,8.723219863279421e-44,2.740480343812719e-43,1,1,1.1463656948617346e+43,1.8244976692822043e+42,604462476.8884035,604462476.8884035,24,54401622919956.32,5037187.307403362,1.4268088495863648e+109,4.756029498621216e+108,8.756207796310336e+31,7.970243812697404e+31,1208924953.776807,0.9102392266268373,0.3819660112501051,0.0031830500937508758,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
2,4.231410524486962e-35,2.618033988749895,1.4114466230124315e-43,4.4341903417899764e-43,1,1,7.084929629614427e+42,1.1276015720113672e+42,373578355.64098114,373578355.64098114,24,33622052007688.305,3113152.9636748433,2.081686056922003e+108,6.938953523073343e+107,5.411634030676604e+31,4.925881574870546e+31,747156711.2819623,0.9102392266268373,0.1458980337503154,0.0012158169479192951,5.272859085e-35,4.3940492375000005e-37,6.673534054403202e-30
3,6.846566048973924e-35,4.236067977499791,2.283768609340374e-43,7.174670685602698e-43,1,1,4.3787273190029195e+42,6.968960972708371e+41,230884121.24742237,230884121.24742234,24,20779570912268.008,1924034.3437285195,3.0371390259036734e+107,1.0123796753012245e+107,3.3445737656337326e+31,3.0443622378268576e+31,461768242.49484473,0.9102392266268373,0.0557280900008412,0.00046440075000701,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
4,1.1077976573460887e-34,6.8541019662496865,3.695215232352806e-43,1.1608861027392674e-42,1,1,2.706202310611507e+42,4.307054747405301e+41,142694234.39355877,142694234.39355877,24,12842481095420.29,1189118.619946323,4.431126121056942e+106,1.4770420403523139e+106,2.0670602650428715e+31,1.8815193370436886e+31,285388468.78711754,0.9102392266268373,0.02128623625220818,0.00017738530210173483,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
5,1.7924542622434808e-34,11.090169943749475,5.978983841693179e-43,1.878353171299537e-42,1,1,1.672525008391412e+42,2.6619062253030695e+41,88189886.85386358,88189886.85386358,24,7937089816847.722,734915.7237821965,6.464925883618707e+105,2.154975294539569e+105,1.2775135005908609e+31,1.1628429007831688e+31,176379773.70772716,0.9102392266268373,0.008130618755783348,6.775515629819457e-05,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
6,2.9002519195895703e-34,17.944271909999166,9.674199074045986e-43,3.039239274038805e-42,1,1,1.0336773022200953e+42,1.6451485221022318e+41,54504347.5396952,54504347.5396952,24,4905391278572.568,454202.8961641267,9.432199747614887e+104,3.144066582538296e+104,7.895467644520106e+30,7.186764362605199e+30,109008695.0793904,0.9102392266268373,0.0031056200151418556,2.5880166792848795e-05,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
7,4.692706181833052e-34,29.034441853748646,1.5653182915739166e-42,4.9175924453383424e-42,1,1,6.388477061713161e+41,1.0167577032008369e+41,33685539.31416835,33685539.31416834,24,3031698538275.151,280712.82761806954,1.3761393971172338e+104,4.5871313237241125e+103,4.8796673613884985e+30,4.441664645226487e+30,67371078.6283367,0.9102392266268373,0.0011862412896422258,9.885344080351882e-06,5.272859085000001e-35,4.3940492375e-37,6.673534054403202e-30
8,7.59295810142262e-34,46.9787137637478,2.532738198978515e-42,7.956831719377146e-42,1,1,3.948295960487794e+41,6.2839081890139515e+40,20818808.225526866,20818808.22552686,24,1873692740297.4175,173490.06854605718,2.007760322057491e+103,6.692534406858304e+102,3.015800283131609e+30,2.745099717378713e+30,41637616.45105373,0.9102392266268373,0.000453103853784822,3.77586544820685e-06,5.272859085000001e-35,4.3940492375e-37,6.673534054403201e-30
9,1.2285664283255675e-33,76.01315561749647,4.0980564905524324e-42,1.287442416471549e-41,1,1,2.4401811012253677e+41,3.883668842994419e+40,12866731.088641485,12866731.088641483,24,1158005797977.7336,107222.75907201237,2.929282832300877e+102,9.76427610766959e+101,1.86386707825689e+30,1.6965649278477744e+30,25733462.17728297,0.9102392266268373,0.00017307027171223918,1.4422522642686598e-06,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
10,1.9878622384678287e-33,122.99186938124421,6.630794689530945e-42,2.083125588409263e-41,1,1,1.5081148592624256e+41,2.4002393460195308e+40,7952077.136885378,7952077.136885378,24,715686942319.6841,66267.30947404481,4.273766055312539e+101,1.4245886851041795e+101,1.1519332048747187e+30,1.0485347895309381e+30,15904154.273770755,0.9102392266268373,6.610696135189596e-05,5.50891344599133e-07,5.272859085e-35,4.3940492375000005e-37,6.673534054403201e-30
11,3.216428666793397e-33,199.00502499874074,1.072885118008338e-41,3.370568004880813e-41,1,1,9.320662419629429e+40,1.4834294969748892e+40,4914653.951756111,4914653.951756111,24,442318855658.05005,40955.44959796759,6.235340641789402e+100,2.0784468805964674e+100,7.119338733821719e+29,6.480301383168369e+29,9829307.903512223,0.9102392266268373,2.5250612343448544e-05,2.1042176952873786e-07,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
12,5.2042909052612275e-33,321.99689437998506,1.735964586961433e-41,5.453693593290077e-41,1,1,5.760486172994821e+40,9.168098490446408e+39,3037423.1851292625,3037423.185129262,24,273368086661.63354,25311.859876077186,9.097239394005033e+99,3.032413131335011e+99,4.399993314925462e+29,4.005046512141007e+29,6074846.370258525,0.9102392266268373,9.644875678449707e-06,8.03739639870809e-08,5.272859085000001e-35,4.3940492375000005e-37,6.673534054403202e-30
13,8.420719572054622e-33,521.0019193787256,2.80884970496977e-41,8.824261598170889e-41,1,1,3.560176246634607e+40,5.666196479302485e+39,1877230.7666268488,1877230.7666268488,24,168950768996.4164,15643.589721890407,1.3272693401412475e+99,4.424231133804158e+98,2.719345418896256e+29,2.4752548710273613e+29,3754461.5332536977,0.9102392266268373,3.684014691900589e-06,3.0700122432504905e-08,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
14,1.3625010477315854e-32,842.998813758711,4.544814291931205e-41,1.427795519146097e-40,1,1,2.2003099263602147e+40,3.501902011143924e+39,1160192.418502414,1160192.418502414,24,104417317665.21725,9668.270154186781,1.9364598698368627e+98,6.454866232789543e+97,1.6806478960292064e+29,1.529791641113646e+29,2320384.837004828,0.9102392266268373,1.4071683972520515e-06,1.1726403310433762e-08,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
15,2.2045730049370464e-32,1364.0007331374359,7.353663996900971e-41,2.3102216789631842e-40,1,1,1.359866320274392e+40,2.1642944681585598e+39,717038.3481244347,717038.3481244347,24,64533451331.199135,5975.319567703622,2.825256874455909e+97,9.41752291485303e+96,1.0386975228670497e+29,9.45463229913715e+28,1434076.6962488694,0.9102392266268373,5.374904998555705e-07,4.4790874987964205e-09,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
16,3.5670740526686323e-32,2206.999546896147,1.1898478288832177e-40,3.738017198109282e-40,1,1,8.40443606085824e+39,1.3376075429853662e+39,443154.07037797984,443154.07037797984,24,39883866334.01818,3692.9505864831654,4.121994228226783e+96,1.3739980760755944e+96,6.4195037316215755e+28,5.843284111999319e+28,886308.1407559597,0.9102392266268373,2.0530310231465722e-07,1.710859185955477e-09,5.272859085e-35,4.3940492375e-37,6.673534054403202e-30
17,5.771647057605676e-32,3571.0002800335815,1.925214228573314e-40,6.0482388770724635e-40,1,1,5.194227141885675e+39,8.266869251731929e+38,273884.27774645464,273884.27774645464,24,24649584997.18092,2282.3689812204557,6.013908530284382e+95,2.0046361767614608e+95,3.967471497048918e+28,3.611348187137828e+28,547768.5554929093,0.9102392266268373,7.841880708840197e-08,6.534900590700164e-10,5.272859084999999e-35,4.3940492375000005e-37,6.673534054403202e-30
18,9.338721110274318e-32,5777.999826929735,3.115062057456535e-40,9.786256075181755e-40,1,1,3.210208918972566e+39,5.109206178121736e+38,169269.79263152523,169269.79263152523,24,15234281336.83727,1410.5816052627101,8.774174297227362e+94,2.924724765742454e+94,2.452032234572657e+28,2.231935924861491e+28,338539.58526305045,0.9102392266268373,2.995331895054829e-08,2.4961099125456906e-10,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
